BookID,Book,AuthorID,Avg_Rating
0,To Kill a Mockingbird,1,4.27
1,"Harry Potter and the Philosophers Stone (Harry Potter, #1)",2,4.47
2,Pride and Prejudice,3,4.28
3,The Diary of a Young Girl,4,4.18
4,Animal Farm,5,3.98
5,The Little Prince,6,4.32
6,The Great Gatsby,7,3.93
7,The Catcher in the Rye,8,3.81
8,The Lord of the Rings,9,4.52
9,The Book Thief,10,4.39
10,Jane Eyre,11,4.14
11,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",12,4.27
12,Lord of the Flies,13,3.69
13,Romeo and Juliet,14,3.74
14,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",2,4.62
15,The Kite Runner,15,4.33
16,"The Giver (The Giver, #1)",16,4.12
17,The Giving Tree,17,4.38
18,Charlottes Web,18,4.19
19,Little Women,19,4.14
20,"The Hunger Games (The Hunger Games, #1)",20,4.33
21,"The Hobbit (The Lord of the Rings, #0)",9,4.28
22,Of Mice and Men,21,3.88
23,Fahrenheit 451,22,3.97
24,Green Eggs and Ham,23,4.3
25,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",2,4.58
26,Wuthering Heights,24,3.88
27,Alices Adventures in Wonderland / Through the Looking-Glass,25,4.06
28,The Picture of Dorian Gray,26,4.12
29,"Night  (The Night Trilogy, #1)",27,4.36
30,Gone with the Wind,28,4.3
31,The Holy Bible: King James Version,29,4.43
32,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",2,4.56
33,"The Hitchhikers Guide to the Galaxy (The Hitchhikers Guide to the Galaxy, #1)",30,4.23
34,Hamlet,14,4.02
35,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",2,4.58
36,The Adventures of Huckleberry Finn,31,3.83
37,Tolkien On Fairy-stories,9,4.32
38,Les Misérables,32,4.2
39,The Alchemist,33,3.9
40,Brave New World / Brave New World Revisited,34,4.16
41,Crime and Punishment,35,4.26
42,The Help,36,4.47
43,The Secret Garden,37,4.15
44,Memoirs of a Geisha,38,4.14
45,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",12,4.23
46,The Odyssey,39,3.8
47,A Christmas Carol,40,4.07
48,"The Cat in the Hat (The Cat in the Hat, #1)",23,4.18
49,The Outsiders,41,4.12
50,One Hundred Years of Solitude,42,4.11
51,The Grapes of Wrath,21,4
52,A Thousand Splendid Suns,15,4.42
53,"Anne of Green Gables (Anne of Green Gables, #1)",43,4.3
54,Where the Sidewalk Ends,17,4.32
55,The Count of Monte Cristo,44,4.29
56,"Enders Game (Enders Saga, #1)",45,4.31
57,Where the Wild Things Are,46,4.24
58,The Color Purple,47,4.26
59,A Tale of Two Cities,40,3.86
60,The Adventures of Tom Sawyer,31,3.92
61,Life of Pi,48,3.93
62,"The Handmaids Tale (The Handmaids Tale, #1)",49,4.13
63,One Flew Over the Cuckoos Nest,50,4.2
64,Frankenstein: The 1818 Text,51,3.85
65,Flowers for Algernon,52,4.19
66,"Oh, the Places Youll Go!",23,4.36
67,Anna Karenina,53,4.08
68,Tuesdays with Morrie,54,4.16
69,Winnie-the-Pooh (Winnie-the-Pooh #1),55,4.35
70,"The Fellowship of the Ring (The Lord of the Rings, #1)",9,4.38
71,Slaughterhouse-Five,56,4.09
72,The Old Man and the Sea,57,3.8
73,Catch-22,58,3.99
74,The Scarlet Letter,59,3.43
75,Macbeth,14,3.9
76,"Twilight (The Twilight Saga, #1)",60,3.64
77,Lolita,61,3.88
78,The Metamorphosis,62,3.85
79,The Time Travelers Wife,63,3.99
80,Siddhartha,64,4.06
81,The Stranger,65,4.01
82,Goodnight Moon,66,4.3
83,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",2,4.43
84,A Tree Grows in Brooklyn,67,4.29
85,War and Peace,53,4.15
86,"The Little House Collection (Little House, #1-9)",68,4.35
87,A Clockwork Orange,69,4
88,All Quiet on the Western Front,70,4.05
89,The Stand,71,4.34
90,Don Quixote,72,3.89
91,Uncle Toms Cabin,73,3.9
92,Atlas Shrugged,74,3.69
93,The Brothers Karamazov,35,4.36
94,The Poisonwood Bible,75,4.09
95,"I Know Why the Caged Bird Sings (Maya Angelous Autobiography, #1)",76,4.28
96,The Book of Mormon: Another Testament of Jesus Christ,77,4.26
97,"Moby-Dick or, the Whale",78,3.53
98,"The Da Vinci Code (Robert Langdon, #2)",79,3.9
99,Great Expectations,40,3.79
100,"The Good Earth (House of Earth, #1)",80,4
101,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,81,4.45
102,Dracula,82,4.01
103,"A Wrinkle in Time (Time Quintet, #1)",83,3.99
104,The Fault in Our Stars,84,4.15
105,Matilda,85,4.33
106,The Perks of Being a Wallflower,86,4.22
107,Brave New World,34,3.99
108,Sense and Sensibility,3,4.08
109,The Princess Bride,87,4.26
110,The Iliad,39,3.9
111,East of Eden,21,4.4
112,Where the Red Fern Grows,88,4.1
113,The Tell-Tale Heart and Other Writings,89,4.19
114,Mans Search for Meaning,90,4.37
115,The Lorax,23,4.34
116,"Catching Fire (The Hunger Games, #2)",20,4.31
117,The Curious Incident of the Dog in the Night-Time,91,3.89
118,The Declaration of Independence / The Constitution of the United States,92,4.44
119,"A Game of Thrones (A Song of Ice and Fire, #1)",93,4.44
120,"Watership Down (Watership Down, #1)",94,4.08
121,The Bell Jar,95,4.04
122,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",85,4.15
123,The Last Lecture,96,4.26
124,Rebecca,97,4.24
125,The Velveteen Rabbit,98,4.29
126,"Dune (Dune, #1)",99,4.26
127,And Then There Were None,100,4.28
128,The Fountainhead,74,3.88
129,The Lovely Bones,101,3.84
130,Alice in Wonderland,102,4.03
131,The Call of the Wild,103,3.9
132,"The Girl with the Dragon Tattoo (Millennium, #1)",104,4.16
133,"The Return of the King (The Lord of the Rings, #3)",9,4.56
134,The Five People You Meet in Heaven,54,3.98
135,Animal Farm / 1984,5,4.3
136,Perfume: The Story of a Murderer,105,4.03
137,"Angelas Ashes (Frank McCourt, #1)",106,4.14
138,"The Wonderful Wizard of Oz (Oz, #1)",107,3.99
139,"The Two Towers (The Lord of the Rings, #2)",9,4.47
140,Love You Forever,108,4.37
141,Bridge to Terabithia,109,4.04
142,A Prayer for Owen Meany,110,4.24
143,The Road,111,3.98
144,The Divine Comedy,112,4.07
145,A Midsummer Nights Dream,14,3.95
146,A Story of Yesterday,113,4.6
147,The Prophet,114,4.23
148,Persuasion,3,4.15
149,The Name of the Rose,115,4.13
150,"The Three Musketeers (The DArtagnan Romances, #1)",44,4.09
151,Water for Elephants,116,4.1
152,"The Golden Compass (His Dark Materials, #1)",117,4.01
153,The Boy in the Striped Pajamas,118,4.15
154,"The Pillars of the Earth (Kingsbridge, #1)",119,4.33
155,How the Grinch Stole Christmas!,23,4.37
156,Jonathan Livingston Seagull,120,3.85
157,Oliver Twist,40,3.88
158,The Secret Life of Bees,121,4.08
159,"The Notebook (The Notebook, #1)",122,4.14
160,The Master and Margarita,123,4.29
161,"Mockingjay (The Hunger Games, #3)",20,4.07
162,The Complete Sherlock Holmes,124,4.5
163,In Cold Blood,125,4.08
164,The Crucible: A Play in Four Acts,126,3.6
165,Heart of Darkness,127,3.43
166,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",128,4.29
167,The Red Tent,129,4.19
168,Love in the Time of Cholera,42,3.93
169,The Glass Castle,130,4.3
170,The Gift of the Magi,131,4.1
171,The Unbearable Lightness of Being,132,4.11
172,"Eat, Pray, Love",133,3.61
173,"Interview with the Vampire (The Vampire Chronicles, #1)",134,4.01
174,The Canterbury Tales,135,3.52
175,On the Road,136,3.62
176,The Art of War,137,3.97
177,Aesops Fables,138,4.05
178,The Screwtape Letters,12,4.25
179,Fight Club,139,4.19
180,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,9,4.61
181,Dr. Jekyll and Mr. Hyde,140,3.83
182,Gullivers Travels: Travels into Several Remote Nations of the World.,141,3.58
183,"The Godfather (The Godfather, #1)",142,4.38
184,Robinson Crusoe,143,3.68
185,Walden,144,3.78
186,The Origin of Species,145,4
187,Invisible Man,146,3.91
188,Emma,3,4.04
189,The Prince,147,3.83
190,Sophies World,148,3.96
191,The Complete Grimms Fairy Tales,149,4.28
192,The Trial,62,3.96
193,The Time Machine,150,3.9
194,"Watchmen (Watchmen, #1-12)",151,4.37
195,Roots: The Saga of an American Family,152,4.44
196,Candide,153,3.76
197,Beloved,154,3.93
198,Atonement,155,3.93
199,Go Ask Alice,156,3.75
200,My Sisters Keeper,157,4.09
