BookID,Book,AuthorName,Genres,Avg_Rating,,
0,To Kill a Mockingbird,Harper Lee,"Classics, Fiction, Historical Fiction, School, Literature, Young Adult, Historical",4.27,,
1,"Harry Potter and the Philosophers Stone (Harry Potter, #1)",J.K. Rowling,"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Classics",4.47,,
2,Pride and Prejudice,Jane Austen,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Audiobook",4.28,,
3,The Diary of a Young Girl,Anne Frank,"Classics, Nonfiction, History, Biography, Memoir, Historical, Holocaust",4.18,,
4,Animal Farm,George Orwell,"Classics, Fiction, Dystopia, Fantasy, Politics, School, Literature",3.98,,
5,The Little Prince,Antoine de Saint-Exupéry,"Classics, Fiction, Fantasy, Childrens, France, Philosophy, Young Adult",4.32,,
6,The Great Gatsby,F. Scott Fitzgerald,"Classics, Fiction, School, Historical Fiction, Literature, Romance, Novels",3.93,,
7,The Catcher in the Rye,J.D. Salinger,"Classics, Fiction, Young Adult, Literature, School, Novels, Coming Of Age",3.81,,
8,The Lord of the Rings,J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy",4.52,,
9,The Book Thief,Markus Zusak,"Historical Fiction, Fiction, Young Adult, Historical, Classics, War, World War II",4.39,,
10,Jane Eyre,Charlotte Brontë,"Classics, Fiction, Romance, Historical Fiction, Gothic, Literature, Historical",4.14,,
11,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"Fantasy, Classics, Young Adult, Childrens, Christian, Adventure, Middle Grade",4.27,,
12,Lord of the Flies,William Golding,"Classics, Fiction, Young Adult, School, Literature, Dystopia, Read For School",3.69,,
13,Romeo and Juliet,William Shakespeare,"Classics, Plays, Fiction, Romance, School, Drama, Read For School",3.74,,
14,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Fantasy, Young Adult, Fiction, Magic, Childrens, Adventure, Audiobook",4.62,,
15,The Kite Runner,Khaled Hosseini,"Fiction, Historical Fiction, Classics, Contemporary, Novels, Historical, Literature",4.33,,
16,"The Giver (The Giver, #1)",Lois Lowry,"Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School",4.12,,
17,The Giving Tree,Shel Silverstein,"Childrens, Fiction, Picture Books, Classics, Poetry, Young Adult, Fantasy",4.38,,
18,Charlottes Web,E.B. White,"Classics, Fiction, Childrens, Fantasy, Young Adult, Middle Grade, Animals",4.19,,
19,Little Women,Louisa May Alcott,"Classics, Fiction, Historical Fiction, Young Adult, Romance, Historical, Literature",4.14,,
20,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Young Adult, Fiction, Dystopia, Fantasy, Science Fiction, Romance, Adventure",4.33,,
21,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, Young Adult, Science Fiction Fantasy, High Fantasy",4.28,,
22,Of Mice and Men,John Steinbeck,"Classics, Fiction, School, Historical Fiction, Literature, Read For School, Novels",3.88,,
23,Fahrenheit 451,Ray Bradbury,"Classics, Fiction, Science Fiction, Dystopia, School, Literature, Novels",3.97,,
24,Green Eggs and Ham,Dr. Seuss,"Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Humor",4.3,,
25,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook",4.58,,
26,Wuthering Heights,Emily Brontë,"Classics, Fiction, Romance, Gothic, Historical Fiction, Literature, 19th Century",3.88,,
27,Alices Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Classics, Fantasy, Fiction, Childrens, Young Adult, Literature, Adventure",4.06,,
28,The Picture of Dorian Gray,Oscar Wilde,"Classics, Fiction, Horror, Fantasy, Gothic, Literature, Novels",4.12,,
29,"Night  (The Night Trilogy, #1)",Elie Wiesel,"Nonfiction, Classics, History, Memoir, Holocaust, Biography, School",4.36,,
30,Gone with the Wind,Margaret Mitchell,"Classics, Historical Fiction, Fiction, Romance, Historical, War, Literature",4.3,,
31,The Holy Bible: King James Version,Anonymous,"Religion, Classics, Nonfiction, Christian, Philosophy, History, Christianity",4.43,,
32,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Fantasy, Young Adult, Fiction, Magic, Childrens, Middle Grade, Audiobook",4.56,,
33,"The Hitchhikers Guide to the Galaxy (The Hitchhikers Guide to the Galaxy, #1)",Douglas Adams,"Science Fiction, Fiction, Humor, Classics, Fantasy, Comedy, Science Fiction Fantasy",4.23,,
34,Hamlet,William Shakespeare,"Classics, Plays, Fiction, Drama, School, Literature, Theatre",4.02,,
35,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Fantasy, Young Adult, Fiction, Magic, Childrens, Adventure, Audiobook",4.58,,
36,The Adventures of Huckleberry Finn,Mark Twain,"Classics, Fiction, Historical Fiction, Literature, Young Adult, Adventure, School",3.83,,
37,Tolkien On Fairy-stories,J.R.R. Tolkien,"Fantasy, Classics, Essays, Fiction, Fairy Tales, Literary Criticism, Writing",4.32,,
38,Les Misérables,Victor Hugo,"Classics, Fiction, Historical Fiction, Literature, France, Historical, Novels",4.2,,
39,The Alchemist,Paulo Coelho,"Fiction, Classics, Fantasy, Philosophy, Novels, Spirituality, Self Help",3.9,,
40,Brave New World / Brave New World Revisited,Aldous Huxley,"Classics, Fiction, Science Fiction, Dystopia, Literature, Novels, Fantasy",4.16,,
41,Crime and Punishment,Fyodor Dostoevsky,"Classics, Fiction, Russia, Literature, Russian Literature, Philosophy, Novels",4.26,,
42,The Help,Kathryn Stockett,"Fiction, Historical Fiction, Historical, Adult, Adult Fiction, Classics, Contemporary",4.47,,
